mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,rms,label
-341.9889221191406,120.7999496459961,-9.83444881439209,39.60622787475586,-2.2395308017730713,13.864771842956543,-18.852041244506836,-2.98233699798584,-11.12552547454834,-2.109577178955078,-11.66430950164795,-1.9720085859298706,-3.127180576324463,0.04048648849129677,1.0
-388.46197509765625,133.88211059570312,-17.753074645996094,53.109615325927734,-0.516853928565979,22.838815689086914,-23.992504119873047,7.696455478668213,-11.807549476623535,-1.6075046062469482,-9.029035568237305,-5.325350761413574,-0.12641304731369019,0.015565833076834679,1.0
-352.20843505859375,115.79106903076172,-3.415168285369873,32.881832122802734,5.4398932456970215,11.282278060913086,-16.918010711669922,-0.038774169981479645,-7.281857013702393,-3.81190824508667,-12.29988956451416,-4.942386627197266,-3.586811065673828,0.04407098516821861,1.0
-337.8395690917969,120.10960388183594,-12.691746711730957,39.68758773803711,4.412653923034668,10.073729515075684,-21.633323669433594,0.22223995625972748,-10.304430961608887,-6.165374755859375,-14.998135566711426,-2.9261903762817383,-2.536832094192505,0.04084000363945961,0.0
-368.1755676269531,124.36493682861328,-4.643918037414551,39.390567779541016,6.951158046722412,12.446600914001465,-13.1392183303833,-2.361497640609741,-10.50344181060791,-4.8436598777771,-10.041851043701172,-0.9641231894493103,-3.8053970336914062,0.01976279355585575,0.0
-407.9849548339844,136.3810272216797,-14.965291023254395,57.568267822265625,0.19953769445419312,26.050121307373047,-23.51005744934082,8.320959091186523,-11.638611793518066,-1.2990511655807495,-9.223966598510742,-4.804592609405518,-1.2214058637619019,0.01217926200479269,1.0
-304.5401611328125,119.84672546386719,-11.578222274780273,30.144723892211914,-17.95899772644043,9.277717590332031,-9.260340690612793,-3.400864839553833,-12.149340629577637,-3.73225474357605,-12.913479804992676,3.4221572875976562,-5.430387496948242,0.04864231124520302,1.0
-396.6483154296875,138.76551818847656,-7.03225564956665,40.78834533691406,-4.8650288581848145,18.125240325927734,-11.776681900024414,2.7320525646209717,-8.620004653930664,-2.352750301361084,-10.567276954650879,-0.9967963099479675,-1.564363956451416,0.016203053295612335,1.0
-376.90643310546875,145.92996215820312,-16.21613311767578,45.305355072021484,-17.78684425354004,21.03065299987793,-14.044596672058105,1.4852967262268066,-16.621891021728516,-0.5773173570632935,-9.368512153625488,2.177919864654541,-4.085968971252441,0.020920010283589363,1.0
-350.5663757324219,124.9302749633789,-16.399538040161133,39.1793327331543,-8.955164909362793,12.133792877197266,-12.62724494934082,-1.708358883857727,-9.723488807678223,-0.49622827768325806,-9.73939037322998,-0.3625394403934479,-3.2515149116516113,0.028427723795175552,1.0
-452.0668029785156,155.7367401123047,-19.74651336669922,57.28004455566406,-21.34332847595215,36.49198532104492,-19.05072593688965,20.5334415435791,-16.986448287963867,-1.3121120929718018,-7.622744560241699,-3.8386473655700684,-1.463631272315979,0.006470651365816593,1.0
-396.2881164550781,136.04969787597656,-7.01338005065918,39.62628936767578,-11.700539588928223,22.54195785522461,-11.85425090789795,4.6012797355651855,-14.655735969543457,-1.5104974508285522,-7.575413227081299,-0.21724671125411987,-3.4319636821746826,0.012995317578315735,1.0
-307.5882263183594,113.53043365478516,-8.620015144348145,25.434558868408203,-8.417234420776367,8.74713134765625,-9.782745361328125,-1.7518969774246216,-10.908756256103516,-6.707447528839111,-11.655397415161133,1.45663583278656,-3.813962936401367,0.0566989965736866,1.0
-380.95379638671875,131.8737030029297,-4.108172416687012,41.94418716430664,-12.39055347442627,20.539304733276367,-10.782456398010254,4.548651218414307,-14.486640930175781,-4.9438934326171875,-9.363164901733398,2.9753506183624268,0.1737108677625656,0.01789562590420246,1.0
-353.1083984375,130.45114135742188,-11.721620559692383,39.07653045654297,-14.043363571166992,15.302521705627441,-12.29267406463623,4.835724353790283,-13.498235702514648,-4.516115665435791,-10.775948524475098,0.6390942335128784,-2.048002243041992,0.02911033108830452,1.0
-275.99102783203125,117.51292419433594,-30.65222930908203,27.407777786254883,-21.422266006469727,11.892062187194824,-18.036651611328125,-0.6188635230064392,-15.942964553833008,-5.400853157043457,-11.321676254272461,1.479479432106018,-2.9891245365142822,0.06558253616094589,0.0
-386.8310241699219,136.6797332763672,-11.103047370910645,46.321205139160156,-12.484941482543945,21.860126495361328,-10.200812339782715,1.8042529821395874,-13.401652336120605,-3.918982744216919,-9.82645034790039,1.7439253330230713,-3.3648147583007812,0.017450548708438873,0.0
-365.7742614746094,126.23883819580078,-7.164651870727539,36.064945220947266,-7.86212682723999,15.44039535522461,-9.891039848327637,-0.44622230529785156,-13.84467887878418,-5.456085681915283,-8.868292808532715,1.5084772109985352,-2.957872152328491,0.026004629209637642,0.0
-400.63787841796875,142.6113739013672,-14.39199447631836,53.9193115234375,-17.12227439880371,29.465343475341797,-17.558801651000977,10.158047676086426,-16.993820190429688,-1.8117011785507202,-7.055105686187744,0.02085207588970661,-3.42692494392395,0.012159062549471855,0.0
-413.76019287109375,143.8666534423828,-5.66617488861084,45.35221862792969,-7.226741313934326,23.76620101928711,-19.44225311279297,6.690751552581787,-14.163097381591797,-2.3658981323242188,-7.382288932800293,-2.0319223403930664,-0.9452914595603943,0.012162777595221996,1.0
-420.2789611816406,150.5041046142578,-8.076007843017578,51.12699508666992,-16.30086898803711,29.966474533081055,-20.22780990600586,8.382267951965332,-14.98033618927002,-2.7533183097839355,-9.071094512939453,-1.4886243343353271,0.01765258051455021,0.00954621285200119,1.0
-409.70263671875,156.38214111328125,-15.970477104187012,52.06407165527344,-16.09013557434082,27.140783309936523,-24.735218048095703,8.491500854492188,-17.574050903320312,-1.2565375566482544,-10.109749794006348,-0.8830275535583496,3.329387903213501,0.010152806527912617,1.0
-361.4205627441406,124.74991607666016,-8.608847618103027,43.41816329956055,7.045469760894775,8.153088569641113,-10.87671184539795,-0.46195685863494873,-11.438616752624512,-4.742831230163574,-11.626623153686523,-2.577667474746704,-4.409970760345459,0.026372160762548447,1.0
-418.9761962890625,145.830810546875,-14.035004615783691,56.63108825683594,-4.955106735229492,22.22988510131836,-22.286582946777344,13.993134498596191,-15.262702941894531,-6.228273868560791,-9.134845733642578,-2.683948516845703,-2.510221481323242,0.010480117052793503,1.0
-327.264404296875,130.17848205566406,-17.907108306884766,51.53900909423828,2.413884162902832,9.64799690246582,-16.721168518066406,1.6281658411026,-13.222097396850586,-6.0183000564575195,-13.823323249816895,-1.7978501319885254,-1.4488037824630737,0.04097349941730499,1.0
-355.906005859375,126.50939178466797,-4.552180290222168,45.111568450927734,-1.7627027034759521,7.231355667114258,-12.299825668334961,4.386578559875488,-15.093157768249512,-7.651616096496582,-11.928067207336426,-3.1867387294769287,-5.021025657653809,0.03632901608943939,0.0
-388.0924987792969,131.69483947753906,-2.2855358123779297,45.97835922241211,0.005111801438033581,10.18982982635498,-8.228927612304688,3.4016592502593994,-11.461531639099121,-5.596202373504639,-13.349465370178223,-2.224956750869751,-1.4449200630187988,0.02063859812915325,0.0
-394.010009765625,145.51904296875,-12.389442443847656,50.94001007080078,-4.710966110229492,16.24320411682129,-18.06638526916504,12.059883117675781,-14.45051097869873,-9.194145202636719,-8.770634651184082,-1.1201096773147583,-0.9364180564880371,0.01547325775027275,1.0
-340.6104431152344,134.92025756835938,-21.075164794921875,38.58297348022461,-3.493669271469116,17.75307273864746,-21.002038955688477,1.5353249311447144,-11.966858863830566,-2.0727927684783936,-9.307531356811523,-0.5902249813079834,-2.6636388301849365,0.028485096991062164,1.0
-373.5369567871094,144.11160278320312,-36.71921157836914,55.5569953918457,-15.289497375488281,28.198429107666016,-23.312969207763672,12.872088432312012,-14.87751293182373,-0.1905660629272461,-7.032505035400391,-1.0749545097351074,-2.7897915840148926,0.011895968578755856,1.0
-306.65484619140625,127.63027954101562,-17.447824478149414,28.872631072998047,-2.455920934677124,12.666589736938477,-19.337501525878906,-2.169625997543335,-11.05600643157959,-2.885845184326172,-8.886751174926758,-0.5945557951927185,-5.174176216125488,0.049856290221214294,1.0
-333.6862487792969,134.18234252929688,-17.615825653076172,33.308326721191406,-3.098888874053955,17.204755783081055,-21.686792373657227,-1.604384422302246,-11.547571182250977,-3.2528436183929443,-8.613730430603027,-1.0553854703903198,-3.1331963539123535,0.03698879852890968,0.0
-374.9539489746094,143.11988830566406,-17.828285217285156,44.357574462890625,-5.6629815101623535,20.93132781982422,-19.200014114379883,3.0500872135162354,-9.95328140258789,-4.894336223602295,-8.739157676696777,0.6653605103492737,-4.333476543426514,0.017135653644800186,0.0
-413.87030029296875,151.0533447265625,-25.708282470703125,58.82876968383789,-11.36186695098877,33.74065017700195,-26.040618896484375,13.386507987976074,-17.02579116821289,-1.4165611267089844,-6.5855393409729,-2.8040852546691895,-3.9207701683044434,0.00953247956931591,1.0
