angry,disgust,fear,happy,sad,surprise,neutral,label
0.018882840871810913,0.002019016770645976,0.10468810796737671,99.8575668334961,0.00741281732916832,0.001636960543692112,0.007792145479470491,1.0
0.003981448244303465,0.00016518418851774186,0.34851014614105225,99.61666107177734,0.028070570901036263,3.1396568374475464e-05,0.0025836769491434097,1.0
0.4340827465057373,0.08287202566862106,32.218589782714844,65.30084991455078,1.9234800338745117,0.0036227579694241285,0.03650013357400894,1.0
0.04791481792926788,0.0024287940468639135,4.176246166229248,73.22483825683594,22.52887535095215,1.067791527020745e-05,0.01968582160770893,0.0
0.020944038406014442,0.021024314686655998,4.473605632781982,93.80852508544922,1.6684249639511108,5.208262518863194e-05,0.00742202065885067,0.0
0.1965959519147873,0.013404712080955505,0.21423088014125824,99.07705688476562,0.48909997940063477,0.00015789216558914632,0.009452327154576778,1.0
0.014329631812870502,0.0034903220366686583,2.646045446395874,96.9825439453125,0.3259209096431732,0.018730025738477707,0.008936173282563686,1.0
0.38275301456451416,0.10557536035776138,26.35955810546875,64.82466888427734,8.264974594116211,0.008726991713047028,0.053741585463285446,1.0
1.7969732284545898,1.215914249420166,32.33589553833008,55.086002349853516,9.222966194152832,0.04155959561467171,0.3006894290447235,1.0
0.1446477621793747,0.20384378731250763,20.3878231048584,74.84174346923828,4.39720344543457,0.016682568937540054,0.008060759864747524,1.0
0.0032793881837278605,0.00012544584751594812,0.6468351483345032,99.25679779052734,0.09283088892698288,2.565411887189839e-05,0.00010427844972582534,1.0
0.016152076423168182,0.013443193398416042,2.7840516567230225,96.6037826538086,0.5796949863433838,2.9255968911456876e-05,0.0028550310526043177,1.0
0.007881680503487587,0.00013163150288164616,2.381427764892578,96.77571868896484,0.83365797996521,0.000142002958455123,0.0010399435414001346,1.0
0.13965575397014618,0.0005586421466432512,31.283103942871094,67.96586608886719,0.6002035737037659,0.008886403404176235,0.001728489645756781,1.0
0.020448850467801094,0.00010195577488048002,5.764423847198486,93.98673248291016,0.22524279356002808,0.00253065163269639,0.000529238663148135,1.0
0.049723077565431595,0.0007607973529957235,15.464974403381348,59.94676208496094,24.536277770996094,0.00041960584348998964,0.0010841351468116045,0.0
0.028504766523838043,0.00044651297503151,5.499460697174072,80.64154815673828,13.829639434814453,1.280564447370125e-06,0.0004065203247591853,0.0
